text,generated,word_count,BART_rephrase,BART_refine,BART_clear,BART_concise,BART_Humanize
Dear principal I think we should not allow the student to bring there cell phone to school because they only use it to play or text that why peoples grade are low and 10 of people are failing. I know a lot of kids in my class that are failing. Kids in my class surely text a lot to the other kid in school. That why I think that we should not allow cell phones,1,75,Rephrase my text: Dear principal I think we should not allow the student to bring there cell phone to school because they only use it to play or text that why peoples grade are low. I know a lot of kids in my class that are failing.,Help me refine this: Dear principal I think we should not allow the student to bring there cell phone to school because they only use it to play or text that why peoples grade are low. I know a lot of kids in my class that are failing.,Make this clearer: Dear principal I think we should not allow the student to bring there cell phone to school because they only use it to play or text that why peoples grade are low. I know a lot of kids in my class that are failing. That why I think that we shouldNot allow cell phones.,I think we should not allow the student to bring there cell phone to school because they only use it to play or text that why peoples grade are low and 10 of people are failing. Kids in my class surely text a lot to the other kid in school. That why I think that we shouldn't allow cell phones.,Humanize the text: Dear principal I think we should not allow the student to bring there cell phone to school because they only use it to play or text that why peoples grade are low. I know a lot of kids in my class that are failing.
dear principal i think some of student want to go help the community and some of them didnt want to help the community but i think that student should perform community service because we not let down the student who wants to go and help the community because if u say the student will not perform community some of student will think that this is unfair and they will not agree with this decision. all i have to say is that student should perform community. have a great decision and also thank you.,1,93,Rephrase my text: dear principal i think some of student want to go help the community and some of them didnt want to help thecommunity but i think that student should perform community service because we not let down the student who wants to go. have a great decision and also thank you.,Help me refine this: dear principal i think some of student want to go help the community and some of them didnt want to help thecommunity but i think that student should perform community service. If u say the student will not perform community some ofStudent will think that this is unfair.,Make this clearer: dear principal i think some of student want to go help the community and some of them didnt want to help theCommunity. I think that student should perform community service because we not let down the student who wants to go and help thecommunity. have a great decision and also thank you.,Please make this more concise: dear principal i think some of student want to go help the community and some of them didnt want to help thecommunity but i think that student should perform community service. If u say the student will not perform community some ofStudent will think that this is unfair and they will not agree with this decision. have a great decision and also thank you.,Humanize the text: dear principal i think some of student want to go help the community and some of them didnt want to help thecommunity. I think that student should perform community service because we not let down the student who wants to go. have a great decision and also thank you.
Dear principal I think that every students should perform and they should be required to perform community service. For example some children and others clean up litter. But there are so many children who do not want to help other to get the job done . The principal need to tell other to get the community clean. Everyone need to take position on the required to perform community service. we need to keep our community clean. Everybody need to be part of the job. I think every one should know that we need thing clean,1,95,I think that every students should perform and they should be required to perform community service. For example some children and others clean up litter. But there are so many children who do not want to help other to get the job done. I think every one should know that we need thing clean.,Help me refine this: Dear principal I think that every students should perform and they should be required to perform community service. For example some children and others clean up litter. But there are so many children who do not want to help other to get the job done.,Make this clearer: Dear principal I think that every students should perform and they should be required to perform community service. For example some children and others clean up litter. But there are so many children who do not want to help other to get the job done. I think every one should know that we need thing clean.,I think that every students should perform and they should be required to perform community service. The principal need to tell other to get the community clean. I think every one should know that we need thing clean.,Humanize the text: Dear principal I think that every students should perform and they should be required to perform community service. For example some children and others clean up litter. But there are so many children who do not want to help other to get the job done.
Dear principal. We like to clean litter from our school to help the janitor. My friends would like to clean the litter with me outside the school. There kids that dont clean the litter in there school Others who does. We will help the janitor clean the litter. From STUDENTNAME,1,51,Rephrase my text: Dear principal. We like to clean litter from our school to help the janitor. My friends would like toClean the litter with me outside the school. There kids that dont clean the litter in there school Others who does. We will help theJanitor clean the trash.,Help me refine this: Dear principal. We like to clean litter from our school to help the janitor. My friends would like toClean the litter with me outside the school. There kids that dont clean the litter in there school Others who does. We will help theJanitor clean the trash.,Make this clearer: Dear principal. We like to clean litter from our school to help the janitor. My friends would like toClean the litter with me outside the school. There kids that dont clean the litter in there school Others who does. We will help theJanitor clean the trash.,We like to clean litter from our school to help the janitor. My friends would like toClean the litter with me outside the school. There kids that dont clean the litter in there school Others who does.,Student writes to principal: We like to clean litter from our school to help the janitor.
I think we are accomplish more if we are always do in somethingBecause if you doing wat you have to be doing you going to get your stuff done. Because when you dont do wat you have to do you dont det nothing donethen you going to be worried because you dint get our work done. my second reason is if you get your stuff done you can get a free time when you do all your work and it fells so good finishing all you work that you had. when you done you not going to be tired.,1,99,Rephrase my text: I think we are accomplish more if we are always do in something. Because if you doing wat you have to be doing you going to get your stuff done. my second reason is if you getyour stuff done you can get a free time. when you done you not going to be tired.,Help me refine this: I think we are accomplish more if we are always do in something. Because if you doing wat you have to be doing you going to get your stuff done. when you done you not going to be tired. my second reason is if you getyour stuff done you can get a free time.,Make this clearer: I think we are accomplish more if we are always do in something. Because if you doing wat you have to be doing you going to get your stuff done. when you done you not going to be tired. my second reason is if you getyour stuff done you can get a free time.,Please make this more concise: I think we are accomplish more if we are always do in something. Because if you doing wat you have to be doing you going to get your stuff done. my second reason is if you getyour stuff done you can get a free time. when you done you not going to be tired.,Humanize the text: I think we are accomplish more if we are always do in something. Because if you doing wat you have to be doing you going to get your stuff done. when you done you not going to be tired. my second reason is if you getyour stuff done you can get a free time.
To who it may concern Hello my name is STUDENTNAME and I think doing community service is a good idea but I think others will disagree with it. So I think we should do an assembly on how important it is to keep our planet and city clean and educated. We should have guess speakers reward assemblies and more disappline assemblies for the students that wont do the community service. So the students can help with the community instead of destroying it with graffiti rival gangs and destroying public property. Sincerely STUDENTNAME,1,92,Students should do community service instead of graffiti rival gangs and destroying public property.,Help me refine this: To who it may concern Hello my name is STUDENTNAME and I think doing community service is a good idea but I think others will disagree with it. So I think we should do an assembly on how important it is to keep our planet and city clean and educated. We should have guess speakers reward assemblies and more disappline assemblies for the students that wont do the community service. So the students can help with the community instead of destroying it with graffiti rival gangs,I think doing community service is a good idea but I think others will disagree with it. We should have guess speakers reward assemblies and more disappline assemblies for the students that wont do the community service. So the students can help with the community instead of destroying it with graffiti rival gangs and destroying public property.,I think doing community service is a good idea but I think others will disagree with it. We should have guess speakers reward assemblies and more disappline assemblies for the students that wont do the community service. So the students can help with the community instead of destroying it with graffiti rival gangs and destroying public property.,"Student: ""I think doing community service is a good idea but I think others will disagree with it"""
Dear Principal I think that all students should perform community service. Because if there cleaning they will not litter in the first plays. And also that will help the community and tutor is not so bad because they get to lernd how other students lernd. And the students how dont want to do it because its wasting there time. I think they will how have fun if they help the elementary school sports times.,1,74,Rephrase my text: Dear Principal I think that all students should perform community service. Because if there cleaning they will not litter in the first plays. And also that will help the community.,Help me refine this: Dear Principal I think that all students should perform community service. Because if there cleaning they will not litter in the first plays. And also that will help the community and tutor.,Make this clearer: Dear Principal I think that all students should perform community service. Because if there cleaning they will not litter in the first plays. And also that will help the community.,Please make this more concise: Dear Principal I think that all students should perform community service. Because if there cleaning they will not litter in the first plays. And also that will help the community and tutor.,Humanize the text: Dear Principal I think that all students should perform community service. I think they will how have fun if they help the elementary school sports times.
we should perform community service because we are helping our society to become much cleaner. for examples i can give are help janitors to clean litter from school help the teachers by tutoring kids go to the library to help clean and organize it so i could look perfect when kids come to the library and to go to the hospitals to help patients and so we can help clean the hospital. Thats why i think we all should perform community service.,1,82,Rephrase my text: we should perform community service because we are helping our society to become much cleaner. for examples i can give are help janitors to clean litter from school help the teachers by tutoring kids go to the library to help clean.,Help me refine this: we should perform community service because we are helping our society to become much cleaner. for examples i can give are help janitors to clean litter from school help the teachers by tutoring kids go to the library to help clean and organize it.,Make this clearer: we should perform community service because we are helping our society to become much cleaner. for examples i can give are help janitors to clean litter from school help the teachers by tutoring kids go to the library to help clean and organize it so i could look perfect when kids come.,Please make this more concise: we should perform community service because we are helping our society to become much cleaner. for examples i can give are help janitors to clean litter from school help the teachers by tutoring kids go to the library to help clean and organize it so i could look perfect when kids come.,Humanize the text: we should perform community service because we are helping our society to become much cleaner. for examples i can give are help janitors to clean litter from school help the teachers by tutoring kids go to the library to help clean and organize it.
Dear TEACHERNAME I do think students should do community service so we can live in a cleaner world. And they can help our world. People should stop littering and pick up there mess that they did so other people dont have to pick up there mess that they did. I think doing community service student can learn so next time they can think before they litter. from STUDENTNAME,1,68,Rephrase my text: Dear TEACHERNAME I do think students should do community service so we can live in a cleaner world. And they can help our world. People should stop littering and pick up there mess that they did. I think doing community service student can learn.,Students should do community service so we can live in a cleaner world. People should stop littering and pick up there mess that they did. I think doing community service student can learn so next time they can think before they litter.,Students should do community service so we can live in a cleaner world. People should stop littering and pick up there mess that they did. I think doing community service student can learn so next time they can think before they litter.,Students should do community service so we can live in a cleaner world. People should stop littering and pick up there mess that they did.,Students should do community service so we can live in a cleaner world. People should stop littering and pick up there mess that they did. I think doing community service student can learn so next time they can think before they litter.
some schools have available program and some dont have program because some kids are to young or to small to have program. Butt youngers kids have program because they are growing up. Some school dont have program and some school have program. Exsample are school have program because we have enternet. Some schools dont have enternet.,1,56,Rephrase my text: some schools have available program and some dont have program because some kids are to young or to small to have program. Butt youngers kids have program as they are growing up. Exsample are school have programBecause we have enternet. Some schools dont have entERNet.,Help me refine this: some schools have available program and some dont have program because some kids are to young or to small to have program. Butt youngers kids have program as they are growing up. Exsample are school have programBecause we have enternet. Some schools dont have entERNet.,Make this clearer: some schools have available program and some dont have program because some kids are to young or to small to have program. Butt youngers kids have program as they are growing up. Exsample are school have programBecause we have enternet. Some schools dont have entERNet.,Some schools have available program and some dont have program because some kids are to young or to small to have program. Butt youngers kids haveprogram because they are growing up. Exsample are school have programBecause we have enternet. Some schools dont have entERNet.,Humanize the text: some schools have available program and some dont have program because some kids are to young or to small to have program. Butt youngers kids have program as they are growing up. Exsample are school have programBecause we have enternet. Some schools dont have entERNet.
I agree. I agree with this statement because I have impressions that I cant change in my mind. For example when my mom surprise me with my Play Station. This Statement is based on my experiences my first reason why i choose this was because the impressions is impossible to change,1,51,Rephrase my text: I agree. I agree with this statement because I have impressions that I cant change in my mind. This Statement is based on my experiences.,Help me refine this: I agree. I agree with this statement because I have impressions that I cant change in my mind. For example when my mom surprise me with my Play Station.,Make this clearer: I agree. I agree with this statement because I have impressions that I cant change in my mind. For example when my mom surprise me with my Play Station.,Please make this more concise: I agree. I agree with this statement because I have impressions that I cant change in my mind. This Statement is based on my experiences.,Humanize the text: I agree. I agree with this statement because I have impressions that I cant change in my mind. This Statement is based on my experiences.
the memorable teacher ever had was a teacher in 10 word wild all students,1,14,Rephrase my text: the memorable teacher ever had was a teacher in 10 word wild all students.,Help me refine this: the memorable teacher ever had was a teacher in 10 word wild all students.,Make this clearer: the memorable teacher ever had was a teacher in 10 word wild all students.,Please make this more concise: the memorable teacher ever had was a teacher in 10 word wild all students.,Humanize the text: the memorable teacher ever had was a teacher in 10 word wild all students.
Dear principal I think students should be required to this perform service so students could learn a lot about reading. Because it is very important for students to learn how to read stories and understand more about language arts. Also its very important for students to join the community service to graduate to college and get a job. Also i also recommend this to student so they could grow up one day and be a teacher or a doctor this is a good require.,1,84,Rephrase my text: Dear principal I think students should be required to this perform service. Because it is very important for students to learn how to read stories and understand more about language arts.,Help me refine this: Dear principal I think students should be required to this perform service so students could learn a lot about reading. Because it is very important for students to learn how to read stories and understand more about language arts.,Make this clearer: Dear principal I think students should be required to this perform service so students could learn a lot about reading. Because it is very important for students to learn how to read stories and understand more about language arts.,Please make this more concise: Dear principal I think students should be required to this perform service so students could learn a lot about reading. Also i also recommend this to student so they could grow up one day and be a teacher or a doctor.,Humanize the text: Dear principal I think students should be required to this perform service. Because it is very important for students to learn how to read stories and understand more about language arts.
The principal is considering changing school policy and she has what the students are good and the principal where the students change possible policy. Be sure to support and specific reasons. Many students have a grade C average and least a grade B average to principal in sports or other activities. She would to hear the students views on this possible policy change. And the principal can do in participate in the students to policy change.,1,76,Many students have a grade C average and least a grade B average to principal in sports or other activities. She would to hear the students views on this possible policy change.,Many students have a grade C average and least a grade B average to principal in sports or other activities. She would to hear the students views on this possible policy change.,Many students have a grade C average and least a grade B average to principal in sports or other activities. She would to hear the students views on this possible policy change.,Many students have a grade C average and least a grade B average to principal in sports or other activities. She would to hear the students views on this possible policy change.,The principal would to hear the students views on this possible policy change. Many students have a grade C average and least a grade B average to principal in sports or other activities.
Dear principal I think they should help to do require community service because some kids dont community service. What about who gets in bigger trouble how to are required to do community service. The kids not in trouble dont how to do community service. Its a good an idea. Do you like my option Some people dont like to do community service. They say too much work.I say it not lot work to if you help out.,1,77,Rephrase my text: Dear principal I think they should help to do require community service because some kids dont community service. What about who gets in bigger trouble how to are required to do community service?,Help me refine this: Dear principal I think they should help to do require community service because some kids dont community service. What about who gets in bigger trouble how to are required to do community service?,Make this clearer: Dear principal I think they should help to do require community service because some kids dont community service. What about who gets in bigger trouble how to are required to do community service? Do you like my option?,Please make this more concise: Dear principal I think they should help to do require community service because some kids dont community service. What about who gets in bigger trouble how to are required to do community service?,Humanize the text: Dear principal I think they should help to do require community service because some kids dont community service. What about who gets in bigger trouble how to are required to do community service?
Dear friend my name is STUDENTNAME am I coming from LOCATIONNAME. I speak LOCATIONNAME and LANGUAGENAME. I am a student to SCHOOLNAME to 8grade. The community is very important. Because he teacher people a good idea. Ex my idea is to respect the teacher and other people. I dont know speak English well. Because to my country no English. I want to be a good student in English and other. Thanks,1,71,I am a student to SCHOOLNAME to 8grade. I dont know speak English well. Because to my country no English. I want to be a good student in English and other.,I speak LOCATIONNAME and LANGUAGENAME. The community is very important. Because he teacher people a good idea. Ex my idea is to respect the teacher and other people. I dont know speak English well. Because to my country no English.,I speak LOCATIONNAME and LANGUAGENAME. The community is very important. Because he teacher people a good idea. Ex my idea is to respect the teacher and other people. I dont know speak English well. Because to my country no English.,I am a student to SCHOOLNAME to 8grade. The community is very important. Because he teacher people a good idea. Ex my idea is to respect the teacher and other people. I dont know speak English well.,Humanize the text: Dear friend my name is STUDENTNAME am I coming from LOCATIONNAME. The community is very important. Because he teacher people a good idea. Ex my idea is to respect the teacher and other people.
Dear principal I think some student want to go help the community and some of them didnt want to help the community but I think that student should perform community service because we not let down the student who wants to go and help the community because if u say the student will not perform community some student will think that this is unfair and they will not agree with this decision. All I have to say is that student should perform community. Have a great decision and also thank you.,1,91,I think that student should perform community service because we not let down the student who wants to go and help the community. If u say the student will not perform community some student will think that this is unfair. Have a great decision and also thank you.,Help me refine this: Dear principal I think some student want to go help the community. I think that student should perform community service. If u say the student will not perform community some student will think that this is unfair. Have a great decision and also thank you.,Make this clearer: Dear principal I think some student want to go help the community and some of them didnt want to. I think that student should perform community service because we not let down the student who wants to go. Have a great decision and also thank you.,Please make this more concise: Dear principal I think some student want to go help the community and some of them didnt want to. I think that student should perform community service because we not let down the student who wants to go. Have a great decision and also thank you.,Humanize the text: Dear principal I think some student want to go help the community and some of them didnt want to help theCommunity. I think that student should perform community service because we not let down the student who wants to go. Have a great decision and also thank you.
Dear principal I think they should help to do require community service because some kids dont community service. What about who gets in bigger trouble how to are require to do community service. The kids not in trouble dont how to do community service. Its a good an idea. Do you like my option. Some people dont like to do community service. They say to much work.I say it not lot work to if you help OXT.,1,77,Rephrase my text: Dear principal I think they should help to do require community service because some kids dont community service. What about who gets in bigger trouble how to are require to do community service?,Help me refine this: Dear principal I think they should help to do require community service because some kids dont community service. What about who gets in bigger trouble how to are require to do community service?,Make this clearer: Dear principal I think they should help to do require community service because some kids dont community service. What about who gets in bigger trouble how to are require to do community service? Do you like my option.,Please make this more concise: Dear principal I think they should help to do require community service because some kids dont community service. What about who gets in bigger trouble how to are require to do community service? Do you like my option.,Humanize the text: Dear principal I think they should help to do require community service. What about who gets in bigger trouble how to are require to do community service? Do you like my option.
